 
  Impact-EELS Intensity
 
  All energies in meV
 
  High-symmetry points and/or path breaks detected at the following q_idxs:
    1   350   474   845  1147  1394  1569 

  The path spacings (in inverse Angstrom) between these points are:
    4.9858E-03    4.9633E-03    4.9903E-03    4.9902E-03    4.9830E-03    4.9719E-03
 
 
  q_idx    mode_idx      Energy               I_eels
 
    1         1        -0.004978        0.000000000000E+00
    1         2        -0.004978        0.000000000000E+00
    1         3        -0.004978        0.000000000000E+00
    1         4       129.460988        0.000000000000E+00
    1         5       129.460988        0.000000000000E+00
    1         6       129.460988        0.000000000000E+00
    2         1         0.495001        0.451346270251E+00
    2         2         0.373882        0.196298845369E-20
    2         3         0.373882        0.253790114878E-21
    2         4       129.470054        0.154961561970E+00
    2         5       129.461374        0.308464343585E-24
    2         6       129.461374        0.308464343585E-24
    3         1         0.990028        0.100563853253E+00
    3         2         0.747806        0.960528360442E-23
    3         3         0.747806        0.960528360442E-23
    3         4       129.497236        0.387390862359E-01
    3         5       129.462531        0.000000000000E+00
    3         6       129.462531        0.000000000000E+00
    4         1         1.485023        0.439935819812E-01
    4         2         1.121703        0.200132339868E-23
    4         3         1.121703        0.000000000000E+00
    4         4       129.542486        0.171923912732E-01
    4         5       129.464453        0.000000000000E+00
    4         6       129.464453        0.000000000000E+00
    5         1         1.979980        0.247508050969E-01
    5         2         1.495572        0.169553856748E-24
    5         3         1.495572        0.000000000000E+00
    5         4       129.605724        0.965311104128E-02
    5         5       129.467129        0.000000000000E+00
    5         6       129.467129        0.000000000000E+00
    6         1         2.474889        0.159191948915E-01
    6         2         1.869407        0.000000000000E+00
    6         3         1.869407        0.000000000000E+00
    6         4       129.686841        0.616575624380E-02
    6         5       129.470545        0.000000000000E+00
    6         6       129.470545        0.000000000000E+00
    7         1         2.969738        0.111276801617E-01
    7         2         2.243200        0.000000000000E+00
    7         3         2.243200        0.000000000000E+00
    7         4       129.785693        0.426992942448E-02
    7         5       129.474683        0.000000000000E+00
    7         6       129.474683        0.000000000000E+00
    8         1         3.464516        0.823556281074E-02
    8         2         2.616944        0.000000000000E+00
    8         3         2.616944        0.000000000000E+00
    8         4       129.902110        0.312698187819E-02
    8         5       129.479520        0.000000000000E+00
    8         6       129.479520        0.000000000000E+00
    9         1         3.959212        0.635452368193E-02
    9         2         2.990630        0.000000000000E+00
    9         3         2.990630        0.000000000000E+00
    9         4       130.035887        0.238568777155E-02
    9         5       129.485031        0.000000000000E+00
    9         6       129.485031        0.000000000000E+00
   10         1         4.453813        0.506028155330E-02
   10         2         3.364249        0.000000000000E+00
   10         3         3.364249        0.000000000000E+00
   10         4       130.186795        0.187712048705E-02
   10         5       129.491186        0.000000000000E+00
   10         6       129.491186        0.000000000000E+00
   11         1         4.948310        0.413119893078E-02
