
 Low-frequency dielectric function

 Intrinsic Broadening (meV) :  0.150

 All energies in meV


                             Tensor Component : xx

    Energy                        Real(eps_lf)                    Im(eps_lf)

    0.000000                  5.414084952700E+00             0.000000000000E+00
    0.500000                  5.414099435248E+00             8.689630299369E-06
    1.000000                  5.414142884389E+00             1.738016037670E-05
    1.500000                  5.414215304623E+00             2.607249024287E-05
    2.000000                  5.414316703451E+00             3.476752037478E-05
    2.500000                  5.414447091374E+00             4.346615194854E-05
    3.000000                  5.414606481900E+00             5.216928707320E-05
    3.500000                  5.414794891547E+00             6.087782902478E-05
    4.000000                  5.415012339844E+00             6.959268248130E-05
    4.500000                  5.415258849340E+00             7.831475376062E-05
    5.000000                  5.415534445606E+00             8.704495112918E-05
    5.500000                  5.415839157246E+00             9.578418463219E-05
    6.000000                  5.416173015901E+00             1.045333671465E-04
    6.500000                  5.416536056259E+00             1.132934138537E-04
    7.000000                  5.416928316062E+00             1.220652428024E-04
    7.500000                  5.417349836118E+00             1.308497751205E-04
    8.000000                  5.417800660312E+00             1.396479352497E-04
    8.500000                  5.418280835615E+00             1.484606511893E-04
    9.000000                  5.418790412097E+00             1.572888547428E-04
    9.500000                  5.419329442943E+00             1.661334817666E-04
   10.000000                  5.419897984462E+00             1.749954724203E-04
   10.500000                  5.420496096107E+00             1.838757714192E-04
   11.000000                  5.421123840484E+00             1.927753282897E-04
   11.500000                  5.421781283377E+00             2.016950976256E-04
   12.000000                  5.422468493759E+00             2.106360393487E-04
   12.500000                  5.423185543810E+00             2.195991189707E-04
   13.000000                  5.423932508940E+00             2.285853078583E-04
   13.500000                  5.424709467807E+00             2.375955835017E-04
   14.000000                  5.425516502338E+00             2.466309297850E-04
   14.500000                  5.426353697750E+00             2.556923372611E-04
   15.000000                  5.427221142573E+00             2.647808034289E-04
   15.500000                  5.428118928675E+00             2.738973330147E-04
   16.000000                  5.429047151284E+00             2.830429382568E-04
   16.500000                  5.430005909017E+00             2.922186391939E-04
   17.000000                  5.430995303902E+00             3.014254639579E-04
   17.500000                  5.432015441411E+00             3.106644490703E-04
   18.000000                  5.433066430483E+00             3.199366397431E-04
   18.500000                  5.434148383556E+00             3.292430901840E-04
   19.000000                  5.435261416600E+00             3.385848639064E-04
   19.500000                  5.436405649143E+00             3.479630340443E-04
   20.000000                  5.437581204308E+00             3.573786836715E-04
   20.500000                  5.438788208844E+00             3.668329061268E-04
   21.000000                  5.440026793165E+00             3.763268053439E-04
   21.500000                  5.441297091378E+00             3.858614961873E-04
   22.000000                  5.442599241330E+00             3.954381047935E-04
   22.500000                  5.443933384638E+00             4.050577689182E-04
   23.000000                  5.445299666732E+00             4.147216382901E-04
   23.500000                  5.446698236894E+00             4.244308749703E-04
   24.000000                  5.448129248302E+00             4.341866537188E-04
   24.500000                  5.449592858072E+00             4.439901623678E-04
   25.000000                  5.451089227299E+00             4.538426022014E-04
   25.500000                  5.452618521108E+00             4.637451883433E-04
   26.000000                  5.454180908696E+00             4.736991501517E-04
   26.500000                  5.455776563384E+00             4.837057316215E-04
   27.000000                  5.457405662662E+00             4.937661917952E-04
   27.500000                  5.459068388246E+00             5.038818051818E-04
   28.000000                  5.460764926122E+00             5.140538621839E-04
   28.500000                  5.462495466610E+00             5.242836695340E-04
   29.000000                  5.464260204408E+00             5.345725507397E-04
   29.500000                  5.466059338658E+00             5.449218465381E-04
   30.000000                  5.467893072999E+00             5.553329153608E-04
   30.500000                  5.469761615629E+00             5.658071338071E-04
   31.000000                  5.471665179364E+00             5.763458971295E-04
   31.500000                  5.473603981705E+00             5.869506197286E-04
   32.000000                  5.475578244898E+00             5.976227356592E-04
   32.500000                  5.477588196003E+00             6.083636991480E-04
   33.000000                  5.479634066962E+00             6.191749851230E-04
   33.500000                  5.481716094671E+00             6.300580897545E-04
   34.000000                  5.483834521044E+00             6.410145310088E-04
   34.500000                  5.485989593097E+00             6.520458492155E-04
   35.000000                  5.488181563016E+00             6.631536076465E-04
   35.500000                  5.490410688238E+00             6.743393931100E-04
   36.000000                  5.492677231528E+00             6.856048165582E-04
   36.500000                  5.494981461063E+00             6.969515137096E-04
   37.000000                  5.497323650514E+00             7.083811456858E-04
   37.500000                  5.499704079133E+00             7.198953996648E-04
   38.000000                  5.502123031839E+00             7.314959895497E-04
   38.500000                  5.504580799310E+00             7.431846566537E-04
   39.000000                  5.507077678075E+00             7.549631704027E-04
   39.500000                  5.509613970610E+00             7.668333290553E-04
   40.000000                  5.512189985431E+00             7.787969604408E-04
   40.500000                  5.514806037201E+00             7.908559227160E-04
   41.000000                  5.517462446826E+00             8.030121051416E-04
   41.500000                  5.520159541563E+00             8.152674288781E-04
   42.000000                  5.522897655126E+00             8.276238478029E-04
   42.500000                  5.525677127799E+00             8.400833493483E-04
   43.000000                  5.528498306548E+00             8.526479553613E-04
   43.500000                  5.531361545136E+00             8.653197229868E-04
   44.000000                  5.534267204243E+00             8.781007455736E-04
   44.500000                  5.537215651589E+00             8.909931536046E-04
   45.000000                  5.540207262058E+00             9.039991156528E-04
   45.500000                  5.543242417829E+00             9.171208393619E-04
   46.000000                  5.546321508505E+00             9.303605724545E-04
   46.500000                  5.549444931248E+00             9.437206037678E-04
   47.000000                  5.552613090923E+00             9.572032643171E-04
   47.500000                  5.555826400233E+00             9.708109283897E-04
   48.000000                  5.559085279872E+00             9.845460146681E-04
   48.500000                  5.562390158669E+00             9.984109873857E-04
   49.000000                  5.565741473747E+00             1.012408357514E-03
   49.500000                  5.569139670677E+00             1.026540683986E-03
   50.000000                  5.572585203641E+00             1.040810574947E-03
   50.500000                  5.576078535599E+00             1.055220689052E-03
   51.000000                  5.579620138460E+00             1.069773736794E-03
   51.500000                  5.583210493255E+00             1.084472481866E-03
   52.000000                  5.586850090317E+00             1.099319742577E-03
   52.500000                  5.590539429469E+00             1.114318393291E-03
   53.000000                  5.594279020207E+00             1.129471365924E-03
   53.500000                  5.598069381901E+00             1.144781651477E-03
   54.000000                  5.601911043990E+00             1.160252301613E-03
   54.500000                  5.605804546189E+00             1.175886430290E-03
   55.000000                  5.609750438698E+00             1.191687215432E-03
   55.500000                  5.613749282419E+00             1.207657900658E-03
   56.000000                  5.617801649179E+00             1.223801797059E-03
   56.500000                  5.621908121957E+00             1.240122285033E-03
   57.000000                  5.626069295115E+00             1.256622816171E-03
   57.500000                  5.630285774645E+00             1.273306915205E-03
   58.000000                  5.634558178409E+00             1.290178182018E-03
   58.500000                  5.638887136401E+00             1.307240293707E-03
